id,genres,cast,director,writers,production_companies,producers,original_language,runtime,rating
1094,Comedy,"Martina Gedeck, Alexandra Neldel, Bjarne Mädel, Andreas Windhuis, Ursula Doll, Meret Becker, Petra Kelling, Rosa Enskat, Matthias Matschke, Feo Aladag, Heino Ferch, Rainer Sellien, Jasmin Tabatabai, Roeland Wiesnekker",Vanessa Jopp,Richard Reitinger,"ARD, X Filme Creative Pool, ARTE, ARTE France Cinéma, WDR, Label Télé",Manuela Stehr,de,96,5.3
1095,"Drama, Thriller, Crime","Noa Fisher, Jacob Dylan Igielski, Pom Klementieff, Svetlana B. Levitin, Izra Malakov, Sunny Wu Jin Zahao, Jeremy Sample, Jonathan Aranbayev, Andrea Linsky, Keith William Richards, Wayne Diamond, Greg Yuna, Gerard 'Dash' McQuiller, Sahar Bibiyan, Josh Ostrovsky, Adam Sandler, Kerwin Frost, Sun Zhi Hua-Hilton, Michael A. Sollecito, Stuart Wenig, Jessica Mullayev, La Mar Taylor, Tommy Kominik, Jake Ryan, Habtunu Africho, LaKeith Stanfield, Ricky Barksdale, Alexander Gilkes, Shemsi Selimaj, John Amos, Louis Anthony Arias, Brad Davidorf, Mesfin Lamengo, Shiv Pai, Tilda Swinton, Max Bartos, Judd Hirsch, William Sappe, Julia Fox, Keren Shemel, Roman Persits, Mitchell Wenig, Sean Ringgold, The Weeknd, Todd Vulpio, Erika Wachter, Glenn 'Doc' Rivers, Mike Francesa, Ca$h Out, Maksud Agadjani, Jennifer Venditti, Natasha Lyonne, Damany Eastman, Roza Babekova, Ronald Greenberg, Deneke Muhugeta, Liang Wei-Hui-Duncan, Arthur Borukhov, Jennifer Sacks, Paloma Elsesser, Victor Plajas, Marcia DeBonis, Anthony Mecca, Marty Tendler, Aren Topian, Kevin Garnett, Chad Neves, Trinidad James, Idina Menzel, Warren Finkelstein, Lino Eisenberg, Ara Daglian, Conor Coyne, Benjy Kleiner, Darien Howard, Raleem Moses, Ralph Colucci, Debbie DeLisi, Hailey Gates, Marshall Greenberg, Larry Sloman, Eric Bogosian","Josh Safdie, Benny Safdie","Josh Safdie, Benny Safdie, Ronald Bronstein","A24, Elara Pictures, IAC Films, Sikelia Productions, Scott Rudin Productions","Martin Scorsese, David Koplan, Eli Bush, Sebastian Bear-McClard, Oscar Boyson, Irfaan Fredericks, Emma Tillinger Koskoff, Scott Rudin, Anthony Katagas",en,136,7.148
1096,"Drama, Comedy","Vincent Moscato, Jean-Claude Lecas, Jean-Paul Bonnaire, Florence Pernel, Clovis Cornillac, André Thorent, Gérard Lanvin, Julie Durand, Etienne Chicot, Jean-Pierre Lazzerini, Liliane Rovère, Josiane Stoléru, Philippe Nahon, Jacques Gamblin, Désir Carré",Sam Karmann,"Sam Karmann, Désir Carré",,"Christian Bérard, Jean-Philippe Andraca",fr,100,5.406
1097,Drama,"Türkü Turan, İlhan Şeşen, Elif İnci, Romina Özipekçi, Pelin Akil, Şehnaz Bölen, Bala Atabek, Ümit Çırak, Settar Tanrıöğen",Selim Evci,Selim Evci,Evci Film,Selim Evci,tr,102,4.75
1098,,"Jack Post, Paul Verstraten, Emile Poppe, Hugo Hilgers, Paul Ruven",Eric De Kuyper,Eric De Kuyper,,Frans Rasker,xx,105,6
1099,Drama,"Edward LeSaint, Edward Earle, Harry Harvey Jr., Lester Dorr, Forrest Taylor, Dave O'Brien, Lillian Miles, Patricia Royale, Phil Dunham, Frank O'Connor, Warren McCollum, Marin Sais, William Royle, Joseph Forte, Dorothy Short, Mary MacLaren, Edmund Mortimer, Dan Wolheim, Carleton Young, Walter McGrail, Thelma White, Bob Burns, Frank LaRue, Kenneth Craig, Richard Alexander",Louis J. Gasnier,"Arthur Hoerl, Lawrence Meade",George A. Hirliman Productions,"Samuel Diege, George A. Hirliman",en,66,4.237
1100,,,,,,,en,84,3.667
1101,"Drama, Comedy","Antje Schmidt, David Rott, Oliver Broumis, Peter Lohmeyer, Dulcie Smart, Moritz Führmann, George Baumgartl, Christian Berkel, Victoria Mayer, Johanna ter Steege, Mark Waschke, Stefko Hanushevsky, August Zirner, Kristo Ferkic, Dominik Paul Weber, Jenny Schily, Jeanne Goursaud, Leonie Hämer, Judith Bohle, Bjarne Mädel, Ela Paul, Deborah Kaufmann, Sophie Rois, Barbara Auer, Christina Lindner, Tim-Fabian Hoffmann, Michael Ihnow, Dietrich Adam, Lauren Lee Smith, Julia Zimth",Sandra Nettelbeck,Sandra Nettelbeck,"Sommerhaus Filmproduktion, ZDF, Cine Plus Filmproduktion","Jochen Laube, Fabian Maubach",de,129,6.3
1102,"Comedy, Thriller","Renji Panicker, Siddique, Dinesh Panicker, Ganesh Kumar, Dileep, Pradeep Kottayam, Mamta Mohandas, Aju Varghese, Saiju Kurup, Bindu Panicker, Bheeman Raghu, Harish Uthaman, Sajid Yahiya, Neha Iyer, Priya Anand, Lenaa, Suraj Venjaramoodu",B. Unnikrishnan,B. Unnikrishnan,"RD Illuminations, Viacom18 Studios",,ml,155,5.9
1103,"Drama, Romance","Natalya Sayko, Yelena Solovey, Yuriy Kuznetsov, Yury Eller, Yuri Zvyagintsev, Irina Skobtseva, Nikolay Grinko, Andrei Tolubeyev, Tatyana Zhuravleva, Valeri Smolyakov, Elena Popova, Irina Rozanova, Sergey Yakovlev, Pavel Kornakov, Yevgeni Vesnik, Aleksei Buldakov, Aleksandr Slastin, Arkadi Shalolashvili, Ilya Ivanov, Nina Ruslanova, Yuri Belyayev",Vladimir Bortko,"Vladimir Bortko, Arkadiy Inin","Lenfilm, Vtoroe Tvorcheskoe Obedinenie",,ru,96,2
1104,Comedy,Senta Berger,"Luigi Comencini, Nanni Loy, Ettore Scola, Luigi Magni, Mario Monicelli","Luigi Comencini, Agenore Incrocci, Nanni Loy, Furio Scarpelli, Ettore Scola, Ruggero Maccari, Ugo Pirro, Leonardo Benvenuti, Piero De Bernardi, Luigi Magni, Mario Monicelli","Cooperativa 15 Maggio, Titanus",Franco Committeri,it,112,6.7
1105,"Documentary, TV Movie","John Waters, Kirk Alexander, Richard Butler",Paul Drane,Alan Hopgood,Paul Drane Production,Paul Drane,en,96,6
1106,Drama,"Svetlana Obidina, Yuriy Orlov, Alla Emintseva, Lyubov Tishchenko, Tatyana Tarasova, Sergey Barkovsky, Irina Obrezkova, Dmitriy Vorobyov, Artyom Tsypin",Ramil Salakhutdinov,"Ramil Salakhutdinov, Elena Dolgopyat",,,ru,122,8
1107,"Adventure, Science Fiction, Fantasy","Carole Boyd, Caroline Goodall, Robert Bathurst, Lewis Crutch, Bob Goody, George MacKay, Jasper Harris, Ann Overstall Comfort, Roya Zargar, Lathaniel Dyer, Alice Connor, Aaron Taylor-Johnson, Vanessa Redgrave, Rollo Weeks, Geoffrey Hutchings, Jim Carter, Alexei Sayle, Chris Bearne, Poppy Rogers",Richard Claus,Richard Claus,"Thema Production, Comet Film Produktion GmbH, Delux Productions, Future Films, Warner Bros. Pictures, Comet Films","Kwesi Dickson, Richard Claus, Daniel Musgrave, Carola Ash, John Buchanan",en,98,5.9
1108,"Documentary, Drama","Amy Holland, Rosalie Miller, John Ward, Christinna Chauncey, Greg Fisk, Laura McHenry, Clay Randal, Todd Zeile, Stefan Hajek, Josie Gammell, Tomas Boykin, Gary Edward, Larsen Thompson, Jay Hindle",John Ward,John Ward,,"Todd Zeile, John Ward, Christopher Marcus",en,89,5.286
1109,"Science Fiction, Action, Adventure, Comedy, Fantasy",,,,"Shaw Brothers, Cinematográfica Pelimex, A Erre Cinematografica",,it,105,5.9
1110,Comedy,Billy Connolly,David Mallet,Billy Connolly,,Jacqui Byford,en,80,6
1111,"Comedy, Drama, Romance","Meredith Giangrande, Adam Hendershott, Gino Anthony Pesi, Kel Mitchell, Luke Pennington, Judy Marte, Holly Towne, Jill Bennett, Sarah Wright, Brooke Lyons, Warren Christie, Azita Ghanizada, Casey Boersma, John Wynn, Lynn Chen, Max Decker, Alain Uy, Clayne Crawford, Candice King",Kedar Korde,Kedar Korde,,,en,93,4.3
1112,Comedy,"Sze-chi Lo, Chen Yi-Wen, Chu Chung-heng, Yvonne Yao Cai-Ying",,,,,zh,97,4
1113,"Action, Comedy, Family","Waldemar Kobus, Sebastian Koch, Tom Hinterthan, Sina Richardt, Sophie von Kessel, Dominique Horwitz, Wolfgang Völz, Andreas Schmidt, Maurice Teichert, Maria Ehrich, Sybille J. Schedwill, Ludger Burmann",Peter Timm,"Uwe Timm, Karsten Willutzki, Peter Timm","Bavaria Film International, Relevant Film GmbH, ARD, WDR/Arte",,de,97,6
1114,"Comedy, Mystery","Jack Metzger, Harold Chin, Joe Drago, Johnny Hallyday, Harry Van Gorkum, Jonathan Dino, Jennifer Gjulameti, Jean Reno, Abe Lee Tsunenori, Mike Wendt, Peggy McClellan, Hélène Cardona, Christy Scott Cashman, Judith Godrèche, Andy García, Emily Mortimer, Steve Martin, Joshua R. Roberts, Eric Bruno Borgman, Jeremy Irons, Paul Melendy, Donna Glee Reim, Alfred Molina, Eamon Brooks, Kate Jurdi, Damien Di Paola, Jodie Brunelle, Réna Kano, Richard LaFrance, Kt Baldassaro, Thomas Derrah, Geoffrey Palmer, John Cleese, Armel Bellec, Steven Howitt, Alexis Furic, Yuki Matsuzaki, Evgeniy Lazarev, Lisa Cohen, Tom Gilligan, Alan Resnic, Philip Goodwin, Michael Allosso, Keith Fluker, Frederick Keeve, Lewis D. Wheeler, Chris Palermo, Oscar Valero, Dan Marshall, Linda Sans, Joseph Oliveira, Omayra Amaya, Sharon Tay, Lia Ochoa, Christiane Amanpour, Zofia Moreno, Vyvian B. Stevens, Desiree April Connolly, Lily Tomlin, Karen Strassman, Kimmie Johnson, Federico Castelluccio, Simon Green, Jeff DuJardin, Vincent J. Earnshaw, Aishwarya Rai Bachchan",Harald Zwart,"Steve Martin, Scott Neustadter, Michael H. Weber, Maurice Richlin, Blake Edwards","Metro-Goldwyn-Mayer, Columbia Pictures, Robert Simonds Productions","Shawn Levy, Robert Simonds, Ira Shuman",en,92,5.7
1115,"Drama, Romance","Juliette Binoche, Bulle Ogier, Vincent Lindon, Lola Créton, Melvin Nkosi, Richard Courcet, Hana Magimel, Alice Houri, Hind Darwich, Arturo Giusi, Issa Perica, Bruno Podalydès, Lilian Thuram, Pierre Hiessler, Mati Diop, Grégoire Colin",Claire Denis,"Claire Denis, Christine Angot",Curiosa Films,"Christine de Jekel, Olivier Delbosc, Emilien Bignon",fr,117,5.52
1116,Comedy,Katherine Ryan,Linda Mendoza,Katherine Ryan,"Irwin Entertainment, 3 Arts Entertainment","John Irwin, Katherine Ryan, Kitty Laing, Josh Lieberman, Dave Becky",en,65,6.456
1117,"Animation, Comedy, Drama, Music","Sumire Morohoshi, Yuu Wakui, Asami Seto, Yui Ishikawa, Shino Shimoji, Azusa Tadokoro, Ayaka Ohashi, Tomoyo Kurosawa, Manami Numakura, Yuna Mimura",Ryuichi Kimura,Yoichi Kato,Bandai Namco Pictures,,ja,72,10
1118,"Adventure, Action, Comedy","Vivian Wickliffe, Božidar Smiljanić, Lola Forner, Alan Tam, Linda Denley, Boris Gregorić, Bo Svenson, Clarence Yiu-leung Fok, Ken Boyle, Alicia Shonte, Marcia Chisholm, Bennett Pang Kin-San, Kenny Bee, Carina Lau, Anthony Chan Yau, Mars, John Ladalski, Danny Yip, Stephanie Evans, Robert O'Brien, Jackie Chan, Rosamund Kwan","Jackie Chan, Eric Tsang","John Sheppard, Edward Tang, Jackie Chan","Orange Sky Golden Harvest, Golden Way Films Ltd., Jadran Film","Leonard Ho, Chua Lam",cn,98,7
1119,"Documentary, History","José María Aznar, Txiki Benegas, Maider Oleaga, Odón Elorza, Felipe González, Juan José Ibarretxe, Gemma Nierga, Fermin Muguruza, Bernardo Atxaga, Txetxo Bengoetxea, Iñaki Gabilondo, Alec Reid, Carlos Garaikoetxea, Ione Hernández, José Luis Rodríguez Zapatero, Xabier Arzalluz, Julen Madariaga, Julio Medem, Gregorio Peces Barba, Arnaldo Otegi",Julio Medem,Julio Medem,"Alicia Produce, EiTB, Canal+ España","Julio Medem, Koldo Zuazua",es,115,5.813
1120,"Comedy, Crime, Romance","Charles Napier, Tracey Walter, Roma Maffia, Frank Gio, Joe Spinell, Frank Aquilino, Ellie Cornell, Todd Solondz, Kenneth Utt, Captain Haggerty, O-Lan Jones, Frank Ferrara, Al Lewis, Jonathan Demme, Colin Quinn, Paul Lazar, Oliver Platt, Chris Isaak, Dean Stockwell, Alec Baldwin, Ellen Foley, Gary Goetzman, Mercedes Ruehl, Trey Wilson, Dee Dee Friedman, Obba Babatundé, Tony Fitzpatrick, Michelle Pfeiffer, Gary Klar, Gene Borkan, Matthew Modine, Nancy Travis, Maria Karnilova, Joan Cusack, 'Sister' Carol East, David Johansen, Marlene Willoughby",Jonathan Demme,"Mark R. Burns, Barry Strugatz","Orion Pictures, Mysterious Arts","Shelley Jensen, Edward Saxon, Joel Simon, Ronald M. Bozman, Bill Todman Jr., Kenneth Utt",en,104,5.9
1121,"Animation, Comedy","Ryohei Kimura, Nobunaga Shimazaki, Satsuki Yukino, Kenichi Suzumura, Hiroshi Yanaka, Yukana, Yuuko Iida, Mamoru Miyano, Daisuke Hirakawa, Tatsuhisa Suzuki, Yuka Terasaki, Kouki Miyata, Kenjiro Tsuda, Tsubasa Yonaga, Koki Uchiyama, Takuma Suzuki, Kentaro Kumagai, Yoshimasa Hosoya, Akeno Watanabe, Masayoshi Sugawara, Chihiro Suzuki, Koutaro Nishiyama, Kenji Nojima, Toshiyuki Toyonaga, Satoshi Hino",Eisaku Kawanami,"Masahiro Yokotani, Koji Oji","Animation DO, Kyoto Animation",Gen Fukunaga,ja,108,6.6
1122,Horror,"Gunnar Hansen, Bill Kealey, Bill Roberson, Kirk Blair, David G. Holland, Jennifer Peluso, Debbie Rochon, Jasi Cotton Lanier, J.J. North, Don Tilley, Amy R. Swaim, Michael R. Smith, Brian Kelly",Paul Talbot,"Paul Talbot, Jeff Miller, Michael R. Smith",,,en,90,3.556
1123,Comedy,"Morten Young Mortensen, Robin Høgli, Henrik Rønbeck, Morten Østerhus, Minken Tveitan, Ulrikke Hansen Døvigen, Silje Torp, Åshild Sollien, Nina Schjeide, Pia Tjelta, Steinar A. Hopland, Per Henry Borch, Jon Øigarden, Silje Storstein, Tom Eddie Brudvik, Helena af Sandeberg, Anders Baasmo Christiansen, Nils Jørgen Kaalstad, Marte Engebrigtsen, Christina Uggen, Thorbjørn Harr, Fridtjov Såheim, Torkil Høeg, Thelma Preciosa Winger Sundby, Nikis Theophilakis, Henriette Steenstrup, Marijke Hopen Alfarnes",Eva Dahr,Andreas Markusson,,,no,93,3.5
1124,Romance,"Lanny Ross, Franklin Pangborn, Mary Brian, George Barbier, Joe Sawyer, Dennis O'Keefe, Harold Minjir, Joe Penner, Frank Jenks, Jack Oakie, Robert McWade, Dean Jagger, Ethel Bryant, Lyda Roberti, Helen Mack, Jane Wyman, Ann Sheridan",Norman Taurog,"Francis Martin, John McDermott, George Marion Jr., Walter DeLeon",Paramount,Louis D. Lighton,en,86,4.667
1125,"Action, Science Fiction, TV Movie","Sheree J. Wilson, Paul Jarrett, Zak Ludwig, Robert Clarke, Scott Hylands, Linda Darlow, Tim Perez, Eileen Barrett, Desireé Loewen, Daryl Shuttleworth, Peter LaCroix, Sarah-Jane Redmond, Lauren K. Robek, Willem Jacobson, Kevin McNulty, David James Lewis, Aaron Pearl, Graham Wardle, Valerie Tian, Chuck Campbell",Kristoffer Tabori,"Steven B. Frank, Julie Ferber Frank",Front Street Pictures,,en,90,5.4
1126,"Drama, Comedy, Romance","Arlene Newman, Jordan Charles, Rachel McAdams, Shaselynn Nii, Bill Murray, Jaeden Martell, Anissa Guillermo, Sugar Lyn Beard, Lisa Tam, Taetum Kalani, Tiffany Keamo, Kylie Alarcon, Kaul Kauhi, Lien K. Stevens, Mapuana Makia, Guy Hagi, Mike Kaawa, Kamailelani Grace, Jessica Morgan Southworth, Led Kaapana, Alyssa Cathagan, Alec Baldwin, Robert R. Moore, R. Ipo Nihipali, Alaynie Jennings, Don D. Davis III, Alexander Terebenkov, Ian Adema, Kenneth Matepi, Guyton Galdeira, Ivana Miličević, Mitch Wojnowski, Jarrett Pieske, Labela Giles, Danielle Rose Russell, Fahim Fazil, Kelly Oxford, Jillian Torango, Michael Chernus, Semere-Ab Etmet Yohannes, Les Bramlett, Giovanni Marone, Dennis ""Bumpy"" Kanahele, Stone Griffith, Dmitri Raskes, Roman L. Reznikov, Kauionalani Emond, Danny McBride, Emma Stone, Jacob S. Sotiriadis, Bill Camp, Becky Zienkiewicz, Olana Margaret Ai, Elizabeth Marvel, Edi Gathegi, R. Kunani Nihipali, Calvin Dorn, Ashanti Hoyle-Kamakahi, Bradley Cooper, John Krasinski, Jennifer Roscoe, Westley LeClay, Steven M. Murdzia",Cameron Crowe,Cameron Crowe,"Vinyl Films, Scott Rudin Productions","Scott Rudin, Cameron Crowe, Ilona Herzberg, Eli Bush, Ben Waisbren",en,105,5.492
1127,"Thriller, Horror","Wei Xiaoxuan, Tan Xin Zer, Ziling Huang, Fan Dong",Joshua Chan,,,,zh,72,5.5
1128,"Thriller, Science Fiction, Mystery","Laura Glavan, Francesco Venditti, Ludovico Fremont, Ruby Kammer, Varo Venturi, Giovanni Visentin, Nazzareno Bomba, Marina Kazankova, David Kirk Traylor, Emilian Cerniceanu, Pier Giorgio Bellocchio, Massimo Poggio",Varo Venturi,"M. Luisa Fusconi, Varo Venturi, Giacomo Mondadori","Deusfilm, KT Film & Media, 4Digital Media, One 7 Movies, Zazie Films, CG Entertainment, Cecchi Gori Entertainment Europa",Varo Venturi,it,104,4
1129,"War, Drama","Gonzalo Vega, Carlos Bracho, Bruno Rey, Isabelle Adjani, Ignacio López Tarso, Hanna Schygulla, Fernando Palavicini",Carlos Saura,"Andrés Henestrosa, Jean-Claude Carrière, Antonieta Rivas, Carlos Saura","Nuevo Cine, Conacine, Gaumont International, France 3 Cinéma",,fr,108,5.2
1130,"Comedy, Drama","Navdeep Chabbra, Ram Kapoor, Sunny Leone, Evelyn Sharma",Devang Dholakia,,Magic Pictures and Entertainment,,hi,143,4.5
1131,Horror,"Kassandra Escandell, Amery Thao, Katalina Otter, Corey Klinefelter, Veronica Reed",Benjamin Shea,"Jaime Shea, Zachary Colt Messner","Rose Hall Productions, ITN Distribution",,en,72,3
1132,"Drama, Comedy","Charlotte Krenz, Martin Umbach, Kes Baxter",Gregory Kirchhoff,,Kimotion Pictures,,en,76,6.6
1133,,,Angie Bojtler,,,,en,90,4.5
1134,"Drama, Comedy","Marie Derambure, Landry Marinette, Vincent Griere, Polina Glangetat, Salomé Lesaffre, Pascal Battelier, Yannick Begoin, Stephen Martin, Stéphane Le Bras, Francois Foo Cheung, Domingos Enrico, Eric Garaud, Matisse Croizard-Niveau, Liev Schreiber, Tilda Swinton, Nicolas Saada, Léa Seydoux, Jacques Fauvel, Owen Wilson, Igor Secherre, Simon Ecary, Loic Baxas, Raphael Lagrue, Anna Budanova, Emilien Wiss, Maud Brethenoux, Cyril Sierk, Marie Lucie Parisot, Jean-Pierre Chabernaud, Vallier Vaudin, Nick Croucher, Edward Norton, Théo Navas, Karim Youssouf, Léo Gack, Guillaume Gallienne, Guillaume Laverdant, Gontran Bisserier, Samuel Montgomery, Alexandre Steiger, Pauline Chadanson, Adèle Herisson, Jacky Vallantin, Eutrope Roger, Jean Marie Camps, Grégory Trouvé, Evelyne Chapeau, Bruno Delbonnel, Damien Nadaud, Martin Frappier, Charlie Defraine, Thy-Lane Monnet, Sean Delaunay, Christelle Grelier, Arthur Guillebaud, Paul Lafon, Cyril Morandiere, Stéphane Bak, Pedro Firmino Cunha Da Souza, Anthony Poupart, Jacky Souchet, Griffin Dunne, Alban Ploix, Lola Degove, Guillaume Mailland, Elliot Lienard, Wallace Wolodarsky, Noël Wojcik, Odile Fougère, Quentin Ledru, Gérard Merle, Philippe Pelletier, Carlotta Costanzi, Hugo Bony, Sacha Seguin, Gaelle Puimaly, Winsen Ait Hellal, Jake Gorridge, Tahnee Peterson Stuart, Nicolas Avinée, Sybil Marzin, Hippolyte Girardot, Félix Bouin, Mauricette Genon, Kylian Freslon, Jean Pierre Grasset, Gregory Sacriste, Tiburce Oger, Jeffrey Wright, Anjelica Huston, Noé Richefeux, Bérénice Bernard, Antonia Desplat, Thierry Gonzalez, Krishna Bagadiya, Angus Henderson, Laurent Pizzolato, Quentin Veillon, Antonio Terroso, Sally Bruice, Hugo Leonard, Toheeb Jimoh, Fisher Stevens, Henry Winkler, Samy Guerry Ghindri, Abdel Nour Bouaza, Gilberto Fallat Valle, Pascal Lefort, Patricia Richefort, Julies Desrosiers, Antonio Da Silva, Côme Loury, Dominique Barrier, Samuel Blenkin, Florine Paulius, Raphael Bancarel, Titouan Maret, Benicio del Toro, Sara Lacroix, Antoine Foo Cheung, Armand Pierdon, Jean Jacques Peyraud, Laura Studden, Basile Vinueas, Jacques Grattepanch, Marti Torrens, Christian Cordoba, Laurent Bauer, Thomas Poirson, Mathieu Grattard, Rudy Chaperon, Malik Tati, Bob Balaban, Akim Bahnas, Munik Neth, Zoé Delisle, Pierre Cantaral, Arthur Dalle, Paul Raymond, Lionel Lassuderie, Jean Bourdet, Manon Taccoli, Erick Dues, Pablo Pauly, Jérémy Martincourt, Elisabeth Moss, Jonathan Herbon, Grégoire Leprince-Ringuet, Olivier Lecossois, Romuald Cormeunier, Fabien Marcadet, Tom Grandadam, Gilles Gauthier, Natal Koli, Émile Pélissier, Yoann Gaillard, Bruno Torres, Manon Talandier, Mathéo Sallat Desvard, Didier Da Costa, Samuel Amblard, Gaëtan Billères, Gilles Frougier, Adrien Yeung, Adrien Brody, Cécile de France, Tom Hudson, Bernard Richefort, Charles Audry, Philippe Peyraud, Saoirse Ronan, Mauricette Coudivat, Théo Malet, Lise Cordellier, Tony Revolori, Jean-Claude Loulmet, Rachel Merabet Hrdy, Duc Minh, Jean-Claude Audouin, Francois Boussiron, Julien Lecat, Juliane Fath, Michael Didier, Lou Lampros, Rupert Friend, Lucas Nativel, Jean-Louis Verdier, Alix Champy, Nicolas Pasciani, Benoit Nacaud, Owen Nsimba Soba, François-Pierre Fol, Frances McDormand, Jason Schwartzman, Jerome Caminotti, Sébastien Guignard, Ida Fermaud, Marc Tournier, Juliette Raffray, Mallaury Reby Perrocheau, Orguiene Corniere, Victor Nicolas, Louis Changeur, Florian Salasse, Jean Delabre, Robert Rabouin, Nathan Mazeau, Lyna Khoudri, Luc Louis, Djemal Saidoun, Christian 'Kiki' Delpey, Calvin Williams, Sandro Kopp, Hassane Haimoud, Matéo Salanave, Adrien Brault, Genevieve Brillet, Constance Prost, Victorien Belly, Meermout Didier, Milo Bancarel, Pierre Lamoureux, Raynald Caraguel, Yves Gaillard, Gauthier Rigaud Perut, Théo Fibaque, Elie Mazalrey, David Robles, Nisrine Mofaraj, Emeline Penet, Morgan Lorca, Lois Smith, Steve Park, Lubna Playoust, Larry Pine, Guillaume Ferrant, Rachel Guerineau, Raphael Coutant, Simon Malyon, Benjamin Lavernhe, Paula Kvasnikoff, Patrick Brousse, Morgane Polanski, Boris Zanni, Timothée Chalamet, Sam Poupart, Louise Laveuve, Gilles Gaston-Dreyfus, Sophie Fougère, Rodolphe Pauly, Damien Bonnard, Alfie Flight, Lily Taïeb, Jean-Michel Audoual, Alex Lawther, Philippe Szezepanski, Halbo Kool, Thibault Descamps, Gabriel Ryan, Antoine Bourgeais, Raphael Gallego, Émilie Tronche, Alex Chadeffaud, Charlie Rosser, Mathys Raynaud, Mohamed Belhadjine, Cécilia Anseeuw, Adrien Hans, Marceau Jarrossay, Antoine Jové, Fanny Rebuffic, Hugo Fontaine, Félix Moati, Denis Havard, Briac Aubin, Sam Haygarth, Xavier Dupin, George Smith Burgess, Gilbert Papponnaud, Denis Ménochet, Willem Dafoe, Willem Rompen, Anjelica Bette Fellini, Felicien Marais, Raphael Delage, Bertille Rondard, Bill Murray, Alice Sarrauste, Patrick Morcelli, Dominique Donnary, Eliel Ford, Kublah Diezi, Tiago Allaire, Leo Jennings, Quentin Fournier, Gabriel Mesnard, Mathieu Amalric, Victor Piechaud, Alexis Vignaud, Rémi Larcher, Christoph Waltz, Yann Hedan, Sharif Andoura, Fanny Taccoen, Coline Peron, André Coussy, Audrey Chemin, Pascal Champareau, Monique Lapeyre, Yannik Mazzilli, Lhoussine Chinkir, Claude Gaume, Louis Blanchard, Constantin Rytz, Jean-Benoit Pinot, Victor Chevalarias, Lou Salomé Brizard, Raphael Dias, Théo Hollando Sigot, Lucas Bascans, Nathanael Marfin, Gilles Verdegay, Nahel Bahnas, Pierre Aloui, Jarvis Cocker, Julie Gervaos, Mehdy Hassani, Delphine Landrieau, Pierre-Yves Martron, Laureen Perrocheau, Jean-Pierre Coudert",Wes Anderson,"Wes Anderson, Jason Schwartzman, Hugo Guinness, Roman Coppola","Searchlight Pictures, Indian Paintbrush, American Empirical Pictures","Christoph Fisser, Wes Anderson, Henning Molfenter, Charlie Woebcken, Jeremy Dawson, Steven M. Rales, Roman Coppola",en,108,7.1
